pokemon_id,version_id,item_id,rarity
12,30,199,5
15,30,222,5
19,18,177,5
20,18,177,5
21,30,221,5
22,30,221,5
24,11,222,5
25,30,213,5
26,18,132,50
27,30,263,5
28,30,263,5
35,30,81,5
36,30,81,5
37,30,226,5
38,30,226,5
39,30,81,5
40,30,81,5
43,30,588,5
44,30,588,5
45,30,588,5
46,30,86,50
46,30,87,5
47,30,86,50
47,30,87,5
49,30,272,5
50,30,214,5
51,30,214,5
52,30,194,5
53,30,194,5
56,22,170,5
57,22,170,5
58,22,129,50
59,22,129,50
61,30,198,5
62,30,198,5
63,30,225,5
64,30,225,5
65,30,225,5
66,30,207,5
67,30,207,5
68,30,207,5
72,30,222,5
73,30,222,5
74,30,206,5
75,30,206,5
76,30,206,5
77,22,168,5
78,22,168,5
79,30,256,5
80,30,198,5
81,30,210,5
82,30,210,5
83,30,236,5
84,30,221,5
85,30,221,5
86,11,130,50
87,11,130,50
87,11,223,5
88,30,258,5
89,30,258,50
90,30,88,50
90,30,89,5
91,30,88,50
91,30,89,5
93,11,224,5
94,11,224,5
95,11,215,5
102,30,899,5
104,30,235,5
105,30,235,5
108,30,256,5
109,30,205,5
110,30,205,5
113,30,233,50
116,30,212,5
117,30,212,5
118,30,220,5
119,30,220,5
120,30,90,50
120,30,91,5
121,30,90,50
121,30,91,5
122,18,131,5
124,22,130,100
125,30,299,5
126,30,300,5
131,30,220,5
132,30,234,5
132,30,251,50
143,30,211,5
147,30,212,5
148,30,212,5
149,30,212,5
151,30,134,5
152,11,134,100
161,22,132,5
162,22,132,50
162,22,135,5
170,30,204,5
171,30,204,5
172,18,132,50
173,30,81,5
174,11,132,50
182,30,588,5
186,30,198,5
191,18,169,5
193,30,242,5
199,30,198,5
200,11,224,5
203,22,133,5
208,30,210,5
211,30,222,5
213,30,43,5
215,30,194,5
216,11,132,50
216,11,135,5
217,11,132,50
217,11,135,5
220,11,130,50
221,11,130,50
221,11,223,5
222,30,688,5
227,30,210,5
230,30,212,5
231,22,162,5
232,22,162,5
233,11,229,100
238,22,130,100
239,30,299,5
240,30,300,5
241,30,33,5
242,30,208,5
250,30,44,5
251,30,134,5
261,22,128,5
262,22,128,5
263,30,17,50
263,30,28,5
264,30,17,50
264,30,29,5
265,30,128,50
265,30,190,5
267,30,272,5
269,30,272,5
270,30,196,5
271,30,196,5
272,30,196,5
273,30,248,5
274,30,248,5
275,30,248,5
276,22,172,5
277,22,172,5
278,30,612,50
279,30,612,50
283,30,94,50
284,30,199,5
285,30,86,50
285,30,87,5
286,30,86,50
286,30,87,5
290,30,214,5
293,22,127,5
294,22,127,5
295,22,127,5
296,30,218,5
297,30,198,5
299,30,219,5
300,22,128,50
301,22,128,50
302,30,242,5
303,30,255,5
304,30,215,5
305,30,215,5
306,30,215,5
311,30,589,5
312,30,589,5
313,30,190,5
314,30,190,5
315,30,222,5
316,30,132,50
316,30,135,5
317,30,132,50
317,30,135,5
318,30,203,5
319,30,203,5
322,22,129,100
323,22,129,100
324,30,226,5
325,22,133,50
326,22,133,50
327,22,127,5
328,30,214,5
331,30,265,5
332,30,265,5
335,30,194,5
336,30,272,5
337,30,81,5
337,30,90,50
338,30,80,5
338,30,90,50
343,30,246,5
344,30,246,5
345,30,273,5
346,30,273,5
351,30,220,5
352,22,133,5
353,30,224,5
354,30,224,5
355,30,224,5
356,30,224,5
358,30,201,5
359,26,247,5
361,30,689,5
362,22,176,5
366,30,88,50
366,30,89,5
367,30,203,5
368,30,204,5
369,30,204,5
370,30,93,50
371,30,227,5
372,30,227,5
373,30,227,5
374,30,210,5
375,30,210,5
376,30,210,5
385,30,91,5
396,22,165,5
397,22,165,5
398,22,165,5
400,22,132,50
400,22,135,5
401,30,254,5
402,30,254,5
406,30,222,5
407,30,222,5
413,30,199,5
414,30,199,5
415,30,94,5
416,30,222,5
418,18,163,5
419,18,163,5
420,30,216,5
421,30,216,5
426,22,584,1
427,22,128,50
428,22,128,50
431,22,126,5
432,22,126,5
433,30,201,5
434,22,128,5
435,22,128,5
436,30,210,5
437,30,210,5
439,18,131,5
440,30,110,50
441,30,254,5
443,22,174,5
444,22,174,5
445,22,174,5
446,30,211,5
451,30,222,5
452,30,222,5
453,30,258,5
454,30,258,5
456,22,164,5
457,22,164,5
459,30,223,5
460,30,223,5
461,30,194,5
462,30,210,5
463,30,256,5
466,30,299,5
467,30,300,5
469,30,242,5
476,30,219,5
477,30,224,5
478,22,176,5
492,30,134,5
511,22,132,50
511,22,161,5
512,22,132,50
512,22,161,5
513,22,132,50
513,22,162,5
514,22,132,50
514,22,162,5
515,22,132,50
515,22,164,5
516,22,132,50
516,22,164,5
522,22,126,50
523,22,126,50
524,30,206,50
524,30,215,5
525,30,206,50
525,30,215,5
526,30,206,50
526,30,215,5
531,30,132,50
531,30,135,5
535,22,128,50
536,22,128,50
537,22,128,50
538,30,218,5
539,30,218,5
540,30,196,5
541,30,196,5
542,30,196,5
543,30,222,5
544,30,222,5
545,30,222,5
546,30,588,5
547,30,588,5
548,30,588,5
549,30,588,5
550,30,203,5
551,30,217,5
552,30,217,5
553,30,217,50
554,22,129,50
555,22,129,50
556,30,216,5
557,30,215,5
558,30,215,5
559,30,272,5
560,30,272,5
562,30,224,5
563,30,224,5
568,30,228,5
569,30,228,50
569,30,258,5
572,22,127,50
573,22,127,50
574,22,133,50
575,22,133,50
576,22,133,50
577,22,133,50
578,22,133,50
579,22,133,50
582,30,223,5
583,30,223,5
584,30,223,50
587,22,126,100
590,30,86,50
590,30,87,5
591,30,86,50
591,30,87,5
597,30,265,5
598,30,265,5
613,22,130,50
614,22,130,50
615,30,223,5
618,30,214,5
621,30,227,5
622,30,246,5
623,30,246,5
631,22,250,1
637,30,199,5
648,30,91,5
674,30,196,5
675,30,196,5
701,30,198,5
704,30,272,5
705,30,272,5
731,30,132,5
732,30,135,5
733,30,129,5
734,30,128,5
735,30,128,5
737,30,589,5
739,30,130,5
740,30,126,5
741,30,94,5
742,30,94,5
743,30,94,5
747,30,222,5
748,30,222,5
749,30,246,5
750,30,246,5
751,30,220,5
752,30,220,5
753,30,216,5
754,30,216,5
755,30,86,50
755,30,87,5
756,30,86,50
756,30,87,5
757,30,205,5
758,30,205,5
761,30,901,5
762,30,901,5
763,30,901,50
764,30,900,5
769,30,224,5
770,30,224,5
774,30,91,5
776,30,226,5
777,30,898,5
778,30,127,5
779,30,304,5
780,30,133,5
782,30,303,5
783,30,303,5
784,30,303,50
10004,30,199,5
10005,30,199,5
10006,30,134,5
10013,30,220,5
10014,30,220,5
10015,30,220,5
10016,30,204,5
10017,22,129,50
10018,30,91,5
10029,30,216,5
10032,30,216,5
10037,30,225,5
10053,30,215,5
10056,30,224,5
10057,26,247,5
10060,30,223,5
10069,30,132,50
10069,30,135,5
10070,30,203,5
10071,30,198,5
10072,30,210,5
10076,30,210,5
10080,26,213,5
10081,26,213,5
10082,26,213,5
10083,26,213,5
10084,26,213,5
10085,26,213,5
10089,30,227,5
10090,30,222,5
10091,30,128,5
10092,30,128,5
10093,30,128,5
10094,30,213,5
10095,30,213,5
10096,30,213,5
10097,30,213,5
10098,30,213,5
10099,30,213,5
10101,30,263,5
10102,30,263,5
10103,30,689,5
10104,30,689,5
10105,30,214,5
10106,30,214,5
10107,30,194,5
10108,30,194,5
10109,30,589,5
10110,30,589,5
10111,30,589,50
10112,30,258,5
10113,30,258,50
10115,30,235,5
10121,30,128,5
10123,30,94,5
10124,30,94,5
10125,30,94,5
10128,30,216,5
10129,30,205,5
10130,30,91,5
10131,30,91,5
10132,30,91,5
10133,30,91,5
10134,30,91,5
10135,30,91,5
10144,30,127,5
10146,30,303,50
10148,30,213,5
10149,30,235,5
10150,30,94,5
10153,30,220,5
10154,30,898,5
